3	44	10	3
15	44	3	15
10	44	22	10
22	44	15	22
14	45	2	14
11	45	23	11
2	45	11	2
23	45	14	23
13	46	1	13
9	46	21	9
1	46	9	1
21	46	13	21
0	47	8	0
12	47	0	12
8	47	20	8
20	47	12	20
31	50	30	31
11	48	31	11
33	50	32	33
10	49	22	10
22	49	33	22
23	48	11	23
31	48	32	31
32	50	31	32
32	48	23	32
30	49	10	30
30	50	49	30
49	50	33	49
24	51	15	24
25	53	24	25
12	52	26	12
26	54	25	26
28	54	27	28
27	52	0	27
29	53	28	29
3	51	29	3
26	52	27	26
28	53	25	28
27	54	26	27
15	51	3	15
29	51	24	29
24	53	29	24
25	54	28	25
0	52	12	0
35	57	34	35
21	56	35	21
37	57	36	37
20	55	8	20
8	55	37	8
9	56	21	9
35	56	36	35
34	57	55	34
36	57	35	36
55	57	37	55
36	56	9	36
34	55	20	34
41	58	14	41
38	60	1	38
40	59	39	40
43	61	42	43
42	59	41	42
39	61	38	39
13	60	43	13
2	58	40	2
41	59	40	41
38	61	43	38
14	58	2	14
40	58	41	40
43	60	38	43
39	59	42	39
1	60	13	1
42	61	39	42
7	62	4	7
4	62	16	4
19	62	7	19
16	62	19	16
5	63	4	5
4	63	16	4
17	63	5	17
16	63	17	16
5	64	17	5
18	64	6	18
6	64	5	6
17	64	18	17
7	65	6	7
18	65	19	18
6	65	18	6
19	65	7	19
30	31	71	30
36	37	70	36
7	66	71	7
66	30	71	66
5	67	70	5
67	36	70	67
68	4	70	68
37	68	70	37
69	6	71	69
31	69	71	31
66	7	74	66
67	5	72	67
4	68	73	4
6	69	75	6
28	74	76	28
75	39	77	75
39	72	77	39
73	28	76	73
31	11	69	31
37	8	68	37
6	7	71	6
4	5	70	4
9	36	67	9
10	30	66	10
40	39	75	40
28	29	74	28
27	28	73	27
39	38	72	39
29	3	78	29
2	40	80	2
38	1	79	38
0	27	81	0
1	9	79	1
3	10	78	3
8	0	81	8
11	2	80	11
67	72	79	67
66	74	78	66
73	68	81	73
75	69	80	75
72	5	77	72
74	7	76	74
4	73	76	4
6	75	77	6
7	4	76	7
5	6	77	5
69	11	80	69
68	8	81	68
9	67	79	9
10	66	78	10
27	73	81	27
72	38	79	72
40	75	80	40
74	29	78	74
34	35	87	34
32	33	86	32
16	82	87	16
82	34	87	82
18	83	86	18
83	32	86	83
84	19	86	84
33	84	86	33
85	17	87	85
35	85	87	35
82	16	88	82
83	18	89	83
19	84	90	19
17	85	91	17
25	88	92	25
42	89	93	42
91	42	93	91
90	25	92	90
35	21	85	35
33	22	84	33
17	16	87	17
19	18	86	19
23	32	83	23
20	34	82	20
43	42	91	43
25	26	88	25
24	25	90	24
42	41	89	42
26	12	94	26
41	14	95	41
13	43	96	13
15	24	97	15
12	20	94	12
14	23	95	14
21	13	96	21
22	15	97	22
82	88	94	82
83	89	95	83
90	84	97	90
91	85	96	91
88	16	92	88
89	18	93	89
19	90	92	19
17	91	93	17
16	19	92	16
18	17	93	18
85	21	96	85
84	22	97	84
23	83	95	23
20	82	94	20
24	90	97	24
89	41	95	89
43	91	96	43
88	26	94	88
